public_ip,mode,block_number,block_hash,tx_number,action_type,process_time,delay_time,tps
47.239.100.174,scalability,35,ce5ed45345f8b6789fba584fe628288ab04c4b9535091b0f8924dff9964d0eec,100000,BlkAdder,0,0,0
47.239.100.174,scalability,36,7d5d94869cd326d83734b162a4c4ad9c8dc70ea8386f81b7f5a28cb29e26d765,100000,BlkGenerator,719,0,139042.22156099923
47.239.100.174,scalability,36,7d5d94869cd326d83734b162a4c4ad9c8dc70ea8386f81b7f5a28cb29e26d765,100000,BlkAdder,0,0,0
47.239.100.174,scalability,37,6a5a0744aac763a997530ef4871657867b802890ceab7d31159a370b9cff5a16,100000,BlkGenerator,709,0,140963.99638568316
47.239.100.174,scalability,37,6a5a0744aac763a997530ef4871657867b802890ceab7d31159a370b9cff5a16,100000,BlkAdder,0,0,0
47.239.100.174,scalability,38,79b64b0b65883825505e68492633deee7f5ea6c4a4ee34b1401e133818304b61,100000,BlkGenerator,714,0,139946.65233612945
47.239.100.174,scalability,38,79b64b0b65883825505e68492633deee7f5ea6c4a4ee34b1401e133818304b61,100000,BlkAdder,0,0,0
47.239.100.174,scalability,39,c60e575cbdef9799f398930992d3d8c63d11957d6a9271f97b3f8c3e1b684341,100000,BlkGenerator,705,0,141694.4387766669
47.239.100.174,scalability,39,c60e575cbdef9799f398930992d3d8c63d11957d6a9271f97b3f8c3e1b684341,100000,BlkAdder,0,0,0
47.239.100.174,scalability,40,2ca056affb1ecc605b95a8d29818a830dbf1a3365f1357e982b66c1e08c36ee7,100000,BlkGenerator,712,0,140434.05357278278
47.239.100.174,scalability,40,2ca056affb1ecc605b95a8d29818a830dbf1a3365f1357e982b66c1e08c36ee7,100000,BlkAdder,0,0,0
47.239.100.174,scalability,41,b949f1dd2f41cd57bb3dbf400f4d476056b9edbe4a2498734e20156c318a6c66,100000,BlkGenerator,713,0,140060.33799360765
47.239.100.174,scalability,41,b949f1dd2f41cd57bb3dbf400f4d476056b9edbe4a2498734e20156c318a6c66,100000,BlkAdder,0,0,0
